"tx size","size fee (IOV)","price increase compared to anti spam"
473344,446.1724,893.3447
473600,446.6562,894.3123
473856,447.1402,895.2804
474112,447.6245,896.2490
474368,448.1091,897.2182
474624,448.5939,898.1878
474880,449.0790,899.1580
475136,449.5644,900.1288
475392,450.0500,901.1000
475648,450.5359,902.0718
475904,451.0220,903.0441
476160,451.5084,904.0169
476416,451.9951,904.9902
476672,452.4820,905.9641
476928,452.9692,906.9385
477184,453.4567,907.9134
477440,453.9444,908.8888
477696,454.4324,909.8648
477952,454.9206,910.8413
478208,455.4091,911.8183
478464,455.8979,912.7958
478720,456.3869,913.7739
478976,456.8762,914.7525
479232,457.3658,915.7316
479488,457.8556,916.7112
479744,458.3457,917.6914
480000,458.8360,918.6720
480256,459.3266,919.6532
480512,459.8175,920.6350
480768,460.3086,921.6172
481024,460.8000,922.6000
481280,461.2917,923.5833
481536,461.7836,924.5671
481792,462.2757,925.5515
482048,462.7682,926.5364
482304,463.2609,927.5218
482560,463.7538,928.5077
482816,464.2471,929.4941
483072,464.7405,930.4811
483328,465.2343,931.4686
483584,465.7283,932.4566
483840,466.2226,933.4452
484096,466.7171,934.4342
484352,467.2119,935.4238
484608,467.7070,936.4139
484864,468.2023,937.4046
485120,468.6979,938.3957
485376,469.1937,939.3874
485632,469.6898,940.3797
485888,470.1862,941.3724
486144,470.6828,942.3657
486400,471.1797,943.3594
486656,471.6769,944.3538
486912,472.1743,945.3486
487168,472.6720,946.3440
487424,473.1699,947.3398
487680,473.6681,948.3362
